# Biokinesis-SDK IMU Export
# sensor_id: 1
# label: Xiao_Arm
# exported_at: 2026-05-02T23:18:19
timestamp_us,qw,qx,qy,qz,roll_rad,pitch_rad,yaw_rad
998841297.0,0.38299117,-0.16101107,0.43258226,-0.80016610,-0.95762964,0.07374600,-2.28705984
998852039.0,0.39297611,-0.14470581,0.41540875,-0.80750578,-0.90758872,0.09292355,-2.28111215
998861805.0,0.40374142,-0.13407633,0.39793110,-0.81281439,-0.86211273,0.10354914,-2.26720766
998871571.0,0.41545322,-0.13224318,0.37674702,-0.81729557,-0.81706261,0.09703018,-2.24304885
998881336.0,0.42977355,-0.13431985,0.34652676,-0.82290466,-0.75845693,0.07686688,-2.20963857
998892079.0,0.44917305,-0.13639487,0.29660846,-0.83166305,-0.66412402,0.03959825,-2.16484275
998901844.0,0.46860293,-0.13782041,0.23744640,-0.83966424,-0.55617027,-0.00890971,-2.12099244
998916493.0,0.48009421,-0.13964280,0.19178972,-0.84452717,-0.47646441,-0.05173308,-2.09519057
998926258.0,0.48427868,-0.14219084,0.16121919,-0.84809451,-0.42538646,-0.08513532,-2.08552058
998936024.0,0.48029053,-0.14842056,0.15247956,-0.85090677,-0.41626230,-0.10631531,-2.09138746
998945789.0,0.46970187,-0.15882832,0.16042397,-0.85347400,-0.44022135,-0.12070168,-2.10834600
998956532.0,0.45427346,-0.17367177,0.17694971,-0.85566497,-0.48358555,-0.13686952,-2.13166506
998966297.0,0.44331271,-0.18199282,0.18519378,-0.85793689,-0.50575682,-0.14862577,-2.14925300
998976063.0,0.43182659,-0.18227939,0.18435439,-0.86389437,-0.50274135,-0.15635834,-2.17429101
998985829.0,0.42110927,-0.18000149,0.17460480,-0.87165338,-0.48077290,-0.16752490,-2.20033938
998996571.0,0.41705850,-0.16943710,0.15187556,-0.87993585,-0.42767602,-0.17235767,-2.21886874
999006336.0,0.41024367,-0.15225514,0.12513818,-0.89042627,-0.36058210,-0.16927692,-2.24718941
999016102.0,0.40244349,-0.12923698,0.09143005,-0.90165269,-0.27586871,-0.16014656,-2.27970317
999025868.0,0.39298937,-0.10342810,0.05277455,-0.91218245,-0.18050691,-0.14774788,-2.31461220
999036610.0,0.38182071,-0.07820994,0.01292844,-0.92083060,-0.08439642,-0.13456931,-2.34976217
999046375.0,0.37073672,-0.05772648,-0.02764198,-0.92653001,0.00848895,-0.12781415,-2.38089108
999056141.0,0.36445793,-0.03300484,-0.06840799,-0.92811715,0.10375102,-0.11135840,-2.39901116
999065907.0,0.36507140,-0.00089482,-0.10788934,-0.92470642,0.20087314,-0.08051648,-2.39768494
999076649.0,0.36900764,0.02975374,-0.13970588,-0.91838464,0.28264198,-0.04847331,-2.38437467
999086414.0,0.37373203,0.05204166,-0.17267341,-0.90983511,0.36111406,-0.03437527,-2.36835757
999096180.0,0.37652400,0.06420502,-0.19858576,-0.90259132,0.41923680,-0.03364917,-2.35833102
999105946.0,0.38044199,0.07459046,-0.22266146,-0.89449540,0.47280889,-0.03598567,-2.34598856
999115711.0,0.38581447,0.09291274,-0.24963845,-0.88328651,0.53856765,-0.02849497,-2.32582156
999126454.0,0.39410875,0.11916826,-0.28066318,-0.86700946,0.61954836,-0.01458413,-2.29297991
999136219.0,0.40302836,0.14862035,-0.31567959,-0.84606532,0.71282088,-0.00297060,-2.25359024
999145985.0,0.41203733,0.18195174,-0.35249509,-0.82028411,0.81577582,0.00802206,-2.20713750
999155750.0,0.43484353,0.22796904,-0.41603796,-0.76541076,0.98851540,-0.01284327,-2.11521998
999166493.0,0.45996367,0.25476788,-0.47253342,-0.70727570,1.13207133,-0.07438272,-2.03565120
999176258.0,0.47925792,0.24982583,-0.51253689,-0.66723671,1.20870673,-0.15855228,-2.00543141
999186024.0,0.50012175,0.23079623,-0.53105577,-0.64388750,1.22512273,-0.23616053,-1.98717236
999195789.0,0.53188743,0.20424597,-0.52180424,-0.63490132,1.17078770,-0.30021978,-1.94677413
999206532.0,0.56789708,0.18936212,-0.49805213,-0.62735872,1.09561922,-0.33427962,-1.87535105
999216297.0,0.60027779,0.18304424,-0.46669549,-0.62318272,1.01535462,-0.33858616,-1.79784499
999226063.0,0.62108805,0.18233380,-0.44167260,-0.62123211,0.95947999,-0.32793834,-1.74277046
999235829.0,0.63575584,0.17985717,-0.41962710,-0.62239779,0.91059459,-0.31485157,-1.70469010
999246571.0,0.64935437,0.18472270,-0.40130167,-0.61901001,0.87948415,-0.29682298,-1.66340546
999256336.0,0.65745170,0.19327146,-0.38607971,-0.61753207,0.86166990,-0.27230776,-1.63397143
999266102.0,0.66058865,0.20396967,-0.38242835,-0.61299883,0.86889965,-0.25804349,-1.61635809
999275868.0,0.66476143,0.21850007,-0.39208273,-0.59717760,0.90412019,-0.26334974,-1.59223702
999286610.0,0.67067311,0.24040712,-0.40224518,-0.57497897,0.95048971,-0.26622569,-1.55504479
999296375.0,0.67534057,0.26970784,-0.40445166,-0.55460945,0.99532229,-0.24970715,-1.51126136
999306141.0,0.68232095,0.27929782,-0.40344193,-0.54190908,1.00610907,-0.25045596,-1.48072998
999315907.0,0.69052321,0.27091787,-0.40771379,-0.53249477,0.99850946,-0.27811854,-1.46615420
999326649.0,0.69839796,0.27903196,-0.41832013,-0.50930317,1.02607428,-0.30478084,-1.43278091
999336414.0,0.69941184,0.30747423,-0.42889565,-0.48200747,1.08721448,-0.30840538,-1.39415357
999346180.0,0.68984643,0.33705358,-0.44509923,-0.46086165,1.16451609,-0.30829041,-1.38183122
999355946.0,0.67874073,0.35197205,-0.46726869,-0.44394444,1.23101728,-0.32762633,-1.39118296
999365711.0,0.66188624,0.36419677,-0.49438437,-0.42994350,1.30612112,-0.34828296,-1.41972085
999376454.0,0.64961786,0.38950186,-0.50866555,-0.40932175,1.37903448,-0.34905856,-1.41325400
999386219.0,0.64250190,0.41589354,-0.51841933,-0.38139909,1.44610922,-0.35642694,-1.38670070
999395985.0,0.63237150,0.44067185,-0.52942309,-0.35443731,1.51612501,-0.36527167,-1.36794616
999405750.0,0.62339739,0.46262533,-0.53695098,-0.33020773,1.57581782,-0.37249747,-1.34856327
999416493.0,0.61616103,0.48314287,-0.54224522,-0.30477645,1.63003457,-0.38301597,-1.32448281
999426258.0,0.60748074,0.50358322,-0.54674008,-0.28008282,1.68471295,-0.39215220,-1.30217230
999436024.0,0.59867972,0.52258138,-0.54951449,-0.25792462,1.73442951,-0.39888721,-1.28134640
999445789.0,0.59729391,0.54041953,-0.54267574,-0.23809611,1.75998973,-0.40164205,-1.24151884
999456532.0,0.61296298,0.55141403,-0.52106788,-0.22069714,1.73609550,-0.40650291,-1.16857572
999466297.0,0.62795281,0.55893616,-0.50265341,-0.20150729,1.71368897,-0.41810107,-1.10129538
999476063.0,0.62280894,0.56787448,-0.50457481,-0.18716800,1.74113170,-0.42896691,-1.08979846
999485829.0,0.59637004,0.58264917,-0.52200878,-0.17991542,1.81923746,-0.42570795,-1.12794049
999496571.0,0.56562915,0.60037652,-0.53949533,-0.16898664,1.90900465,-0.41960238,-1.16467785
999506336.0,0.54128356,0.62045957,-0.54778600,-0.14823132,1.98839348,-0.42143688,-1.17011698
999516102.0,0.52516215,0.63887999,-0.54853893,-0.12305333,2.04932824,-0.43224584,-1.15360692
999525868.0,0.51304594,0.65256670,-0.54829803,-0.10153734,2.09638350,-0.44458625,-1.13863511
999536610.0,0.50189506,0.66128072,-0.55037232,-0.08887893,2.13353099,-0.44993883,-1.13712738
999546375.0,0.48749383,0.67155030,-0.55259025,-0.07754987,2.17638254,-0.44960675,-1.13857357
999556141.0,0.46784608,0.68290652,-0.55730009,-0.06461683,2.23261013,-0.44804776,-1.14718416
999565907.0,0.44587023,0.69370252,-0.56314655,-0.05331534,2.29203689,-0.44251170,-1.16099901
999576649.0,0.42487362,0.70487069,-0.56652230,-0.04113640,2.34839628,-0.43720507,-1.16848048
999586414.0,0.40542776,0.71454110,-0.56942201,-0.02859936,2.40115627,-0.43438010,-1.17482891
999596180.0,0.38448332,0.72443439,-0.57199636,-0.01369509,2.45862845,-0.43344943,-1.18051548
999605946.0,0.36416344,0.73190883,-0.57592776,-0.00128966,2.51263737,-0.43077579,-1.19129738
999615711.0,0.33827970,0.73983783,-0.58149129,0.00864354,2.57498753,-0.41829498,-1.20882626
999626454.0,0.31429514,0.74562510,-0.58732156,0.01775282,2.63221810,-0.40678478,-1.22709491
999636219.0,0.29202138,0.75063491,-0.59214311,0.02524438,2.68334966,-0.39383813,-1.24282941
999645985.0,0.27372418,0.75364504,-0.59639276,0.03754876,2.73207129,-0.39314039,-1.25621668
999655750.0,0.25781632,0.75451678,-0.60161860,0.04785631,2.77467386,-0.39242584,-1.27252496
999666493.0,0.23911611,0.75649205,-0.60611722,0.05625997,2.81935798,-0.38438083,-1.28773830
999676258.0,0.22007267,0.75315575,-0.61729237,0.05722384,2.85847112,-0.36601290,-1.32042628
999686024.0,0.20299332,0.74852066,-0.62910808,0.05228338,2.88624484,-0.34020447,-1.35377717
999695789.0,0.18423844,0.74440945,-0.63970844,0.05180620,2.92079343,-0.31818988,-1.38422642
999706532.0,0.16363852,0.73941795,-0.65072479,0.05514321,2.96250794,-0.29894801,-1.41632575
999716297.0,0.14555977,0.73396002,-0.66058353,0.06119189,3.00269658,-0.28601730,-1.44562816
999726063.0,0.13423810,0.72482144,-0.67259013,0.06508862,3.03002976,-0.27851658,-1.48042355
999735829.0,0.12991492,0.71269952,-0.68625242,0.06510854,3.04188035,-0.27455072,-1.51920508
999746571.0,0.11614990,0.70529968,-0.69444289,0.08252652,3.09033345,-0.28143117,-1.54802157
999756336.0,0.09711141,0.70939643,-0.68902864,0.11209644,-3.12413186,-0.29722364,-1.54428298
999766102.0,0.08275376,0.71225037,-0.68260464,0.14107494,-3.06281878,-0.31933744,-1.54098758
999775868.0,0.06347187,0.70636214,-0.68758803,0.15571302,-3.01042513,-0.31231719,-1.56454140
999786610.0,0.03413182,0.70038909,-0.69583098,0.15527198,-2.96618024,-0.26820553,-1.58799220
999796375.0,0.00393224,0.70003562,-0.69698773,0.15537942,-2.92331982,-0.22491521,-1.59118045
999806141.0,-0.01497196,0.69963496,-0.69559238,0.16259769,-2.88621804,-0.20818996,-1.59182547
999815907.0,-0.01663427,0.69239366,-0.69914551,0.17751024,-2.85964839,-0.22443377,-1.61248221
999826649.0,-0.00309251,0.68277871,-0.70375075,0.19631238,-2.84649972,-0.26687992,-1.64094242
999836414.0,0.00782969,0.68122648,-0.69897720,0.21748575,-2.82820777,-0.31231205,-1.64625296
999846180.0,0.01537286,0.68343094,-0.69458454,0.22413869,-2.82921056,-0.33389154,-1.64004456
999855946.0,0.00798238,0.68005131,-0.69822446,0.22349298,-2.81859436,-0.32058348,-1.64983425
999865711.0,-0.02500478,0.68093564,-0.69571896,0.22732474,-2.76861555,-0.27837591,-1.64512644
999876454.0,-0.08137933,0.68918338,-0.67540876,0.24945275,-2.66139903,-0.23609603,-1.60866295
999906727.0,-0.09955989,0.69101117,-0.65824387,0.28161391,-2.58750632,-0.26108336,-1.59686542
999916493.0,-0.11890846,0.68524158,-0.64930703,0.30774199,-2.51812881,-0.27063047,-1.60464404
999926258.0,-0.14665381,0.68070808,-0.64024436,0.32437065,-2.45250727,-0.25662228,-1.60208418
999936024.0,-0.17287935,0.67825053,-0.63349395,0.32980958,-2.40727604,-0.23038360,-1.59152329
999946766.0,-0.19165953,0.67127060,-0.63075171,0.33884317,-2.36498164,-0.21477925,-1.59671961
999956532.0,-0.20271589,0.65551856,-0.63126099,0.36154011,-2.30847949,-0.21982541,-1.63067558
999966297.0,-0.19895899,0.62766313,-0.64450296,0.38867757,-2.26004775,-0.23357595,-1.70784344
999976063.0,-0.20555060,0.59335060,-0.65398791,0.42188131,-2.18363937,-0.23391928,-1.78982923
999986805.0,-0.20418230,0.56832572,-0.66113174,0.44521937,-2.13567033,-0.23832617,-1.85303137
999996571.0,-0.18933119,0.54866866,-0.67631007,0.45356487,-2.13252155,-0.24403547,-1.91366902
1000006336.0,-0.18128729,0.53058933,-0.68263339,0.46863795,-2.10741704,-0.25247688,-1.96424298
1000016102.0,-0.16673541,0.51759343,-0.68550873,0.48412201,-2.08790356,-0.27605235,-2.00939501
1000026844.0,-0.14987828,0.50549697,-0.68724878,0.49969834,-2.06866065,-0.30383806,-2.05480723
1000036610.0,-0.14047465,0.49420879,-0.68511580,0.51637281,-2.03826741,-0.32352342,-2.09194706
1000046375.0,-0.14193848,0.48543630,-0.67594634,0.53600523,-1.99076546,-0.33472263,-2.11426606
1000056141.0,-0.15252949,0.47864127,-0.66703214,0.55018671,-1.94743643,-0.32910901,-2.12158933
1000066883.0,-0.15711443,0.47207235,-0.66460347,0.55746299,-1.92522653,-0.32307940,-2.13231767
1000076649.0,-0.15858891,0.46693803,-0.65967247,0.56714255,-1.90016966,-0.32615950,-2.14387682
1000086414.0,-0.15487319,0.46140536,-0.66219984,0.56974622,-1.89619623,-0.32641977,-2.15985085
1000096180.0,-0.15211662,0.46042833,-0.66406919,0.56910315,-1.89988455,-0.32787346,-2.16462658
1000105946.0,-0.15261540,0.46481889,-0.65953533,0.57067074,-1.89644127,-0.33546320,-2.15565056
1000116688.0,-0.16372241,0.47240765,-0.64863591,0.57384445,-1.88057671,-0.33607534,-2.12902491
1000126454.0,-0.18692275,0.48104017,-0.63090804,0.57932312,-1.84772611,-0.32730603,-2.08692931
1000136219.0,-0.21287267,0.49150114,-0.60980863,0.58416204,-1.81214958,-0.32004517,-2.03646977
1000145985.0,-0.23558927,0.49814661,-0.59112455,0.58899866,-1.77741214,-0.31339513,-1.99632450
1000156727.0,-0.25470675,0.49695099,-0.57810730,0.59494213,-1.74162378,-0.30135928,-1.97587208
1000166493.0,-0.26705826,0.49203151,-0.56849050,0.60282952,-1.70761992,-0.29379018,-1.97129179
1000176258.0,-0.27274520,0.48673302,-0.56191936,0.61069440,-1.68100301,-0.29210495,-1.97588039
1000186024.0,-0.27262859,0.48171909,-0.56154615,0.61504983,-1.66987600,-0.29044165,-1.98686572
1000196766.0,-0.26885932,0.48208687,-0.56440938,0.61379880,-1.67745022,-0.29246690,-1.99098930
1000206532.0,-0.26876131,0.48540603,-0.56524369,0.61044895,-1.68619758,-0.29297312,-1.98384185
1000216297.0,-0.27892508,0.48308522,-0.56143375,0.61124595,-1.67209579,-0.28105755,-1.97477784
1000226063.0,-0.29231068,0.47391211,-0.55783197,0.61545534,-1.64489342,-0.26014740,-1.97485382
1000236805.0,-0.30138818,0.46058671,-0.55744817,0.62151153,-1.61792752,-0.23876548,-1.98838271
1000267079.0,-0.32031785,0.44897874,-0.53760592,0.63780439,-1.55148929,-0.23034321,-1.98477317
1000276844.0,-0.34937745,0.43551362,-0.50588509,0.65752837,-1.45903418,-0.22103078,-1.96699590
1000286610.0,-0.38218513,0.42275022,-0.46973270,0.67421656,-1.36341034,-0.21259859,-1.93746225
1000296375.0,-0.41018025,0.41304740,-0.43657081,0.68596642,-1.28300482,-0.21006947,-1.90660450
1000307118.0,-0.42900281,0.40250332,-0.41330208,0.69507486,-1.22218360,-0.20638643,-1.89080124
1000316883.0,-0.44132755,0.39502098,-0.39808494,0.70051181,-1.18231110,-0.20346292,-1.88037900
1000326649.0,-0.44932962,0.39379528,-0.38590179,0.70292814,-1.15854443,-0.20832904,-1.86750906
1000336414.0,-0.45546825,0.39636618,-0.37522612,0.70331208,-1.14401204,-0.21744048,-1.85190133
1000347157.0,-0.46224088,0.39705406,-0.36401856,0.70439472,-1.12574769,-0.22472372,-1.83796435
1000356922.0,-0.46909750,0.39953283,-0.35260882,0.70426421,-1.11052195,-0.23406903,-1.82078007
1000366688.0,-0.47801302,0.40371524,-0.33762697,0.70322513,-1.09272401,-0.24754571,-1.79656857
1000376454.0,-0.48285432,0.40708407,-0.31707222,0.70753054,-1.06385378,-0.27323668,-1.78243396
1000387196.0,-0.47642140,0.40910966,-0.29672953,0.71944668,-1.03119271,-0.31091361,-1.79460524
1000396961.0,-0.46196885,0.40917451,-0.27571975,0.73698007,-0.99154439,-0.35581992,-1.82786618
1000406727.0,-0.44663302,0.40170685,-0.24728889,0.76026229,-0.92396814,-0.40053426,-1.87781812
1000416493.0,-0.42394474,0.38888539,-0.21044359,0.79041287,-0.82740933,-0.45151269,-1.95598145
1000427235.0,-0.39426528,0.37092385,-0.16053665,0.82534742,-0.69158264,-0.50715697,-2.06410949
1000437000.0,-0.36140269,0.35135755,-0.10645655,0.85708983,-0.53859639,-0.55311771,-2.18715419
1000446766.0,-0.32742683,0.33344705,-0.05636495,0.88228551,-0.39086904,-0.58413763,-2.31197646
1000456532.0,-0.29685205,0.31430067,-0.00313931,0.90171176,-0.23517327,-0.60037677,-2.43242269
1000466297.0,-0.27252721,0.29204438,0.05554362,0.91507044,-0.06976503,-0.60013835,-2.54108553
1000477039.0,-0.25296853,0.26817508,0.10977745,0.92305902,0.08032848,-0.58311078,-2.63073759
1000486805.0,-0.24085612,0.24928145,0.15819136,0.92456616,0.20588350,-0.56706304,-2.69209186
1000496571.0,-0.23447286,0.23632089,0.20089128,0.92131298,0.31073255,-0.55819744,-2.73288901
1000506336.0,-0.23391541,0.22640029,0.23438099,0.91601967,0.38970058,-0.55203953,-2.75324234
1000517079.0,-0.23481625,0.21417552,0.26215571,0.91118854,0.45505853,-0.53917174,-2.76494140
1000526844.0,-0.23613277,0.19836450,0.28403715,0.90786328,0.50695699,-0.51704855,-2.76946826
1000536610.0,-0.25240639,0.17889479,0.30625085,0.90027667,0.55218790,-0.49690707,-2.73840988
1000546375.0,-0.27823042,0.15974756,0.33281625,0.88673665,0.60344454,-0.48760035,-2.68803644
1000557118.0,-0.29897231,0.14890271,0.35958037,0.87128956,0.65692180,-0.49437763,-2.65207822
1000566883.0,-0.32789234,0.14139339,0.38471018,0.85117131,0.70254528,-0.51551966,-2.59880703
1000576649.0,-0.37137934,0.12988316,0.40749154,0.82411067,0.73665130,-0.54304353,-2.50888330
1000586414.0,-0.40757592,0.13976837,0.40472210,0.80656475,0.70504978,-0.58881316,-2.42798315
1000597157.0,-0.41800983,0.16435565,0.37433567,0.81125077,0.61469865,-0.61826139,-2.39207159
1000606922.0,-0.42254664,0.18128383,0.34621847,0.81775503,0.53651372,-0.62991790,-2.36637095
1000616688.0,-0.43271953,0.17206032,0.32834778,0.82178878,0.49424422,-0.60281005,-2.32879188
1000626454.0,-0.44459944,0.14907870,0.30767390,0.82791524,0.45713542,-0.54735720,-2.28638605
