# Biokinesis-SDK Export,
# sensor_id: 1,
# label: Xiao_Arm,
# signal: emg_filtered,
# unit: uV,
# exported_at: 2026-05-02T23:18:19,
timestamp_us,emg_uV
1004994594,-34113.12781
1004995594,-6293.420984
1004996360,-41173.33069
1004997360,-69388.93156
1004998360,-61248.14371
1004999360,-36341.9745
1005000360,-15873.68686
1005001360,-2596.749533
1005002360,6272.885063
1005003360,8472.827807
1005004360,4837.389188
1005005360,1287.084666
1005007102,-21842.05741
1005008102,-43265.32648
1005009102,-45886.67625
1005010102,-37497.64963
1005011102,-24570.4085
1005012102,-6880.429351
1005013102,9720.154925
1005014102,14292.52499
1005015102,7962.862646
1005016102,1852.188837
1005016868,-3759.481424
1005017868,456.0455
1005018868,5488.91235
1005019868,7781.569483
1005020868,6019.673759
1005021868,2535.191003
1005022868,350.64813
1005023868,-77.937705
1005024868,-7.307791
1005025868,-36.024597
1005026633,8940.426899
1005027633,30976.85057
1005028633,49669.87779
1005029633,60467.52006
1005030633,50586.96001
1005031633,13323.83256
1005032633,-27579.69267
1005033633,-37947.75374
1005034633,-20436.02493
1005035633,-4317.819158
1005036399,-24613.37006
1005037399,-60139.24326
1005038399,-68664.35194
1005039399,-59445.26962
1005040399,-42413.56907
1005041399,-17472.76454
1005042399,7861.561079
1005043399,17313.28582
1005044399,10523.46219
1005045399,2642.771887
1005047141,14089.60836
1005048141,10300.09264
1005049141,8021.073399
1005050141,4249.281637
1005051141,-6189.187155
1005052141,-22510.05015
1005053141,-32872.91159
1005054141,-26867.81466
1005055141,-11731.74008
1005056141,-1861.219531
1005056907,-47437.10179
1005057907,-56464.43078
1005058907,-40039.69586
1005059907,-12921.37359
1005060907,11130.13583
1005061907,27820.10511
1005062907,33107.32004
1005063907,24403.39406
1005064907,10147.33224
1005065907,1635.666229
1005066672,17451.7105
1005067672,10040.22268
1005068672,-107.796355
1005069672,-9869.452535
1005070672,-17921.78251
1005071672,-22522.70451
1005072672,-20701.99843
1005073672,-12839.10637
1005074672,-4574.205613
1005075672,-467.611958
1005076438,-26313.73377
1005077438,-27555.21219
1005078438,-17499.21739
1005079438,-2728.090937
1005080438,11008.66022
1005081438,20985.43493
1005082438,23413.75167
1005083438,16612.02145
1005084438,6678.309067
1005085438,981.663722
1005087180,29296.6657
1005088180,31985.25425
1005089180,28459.59574
1005090180,22453.56695
1005091180,8236.385641
1005092180,-19427.66126
1005093180,-43962.73714
1005094180,-41917.06857
1005095180,-19962.13812
1005096180,-3604.336786
1005096946,-44136.79376
1005097946,-74031.76756
1005098946,-73704.99189
1005099946,-58393.36462
1005100946,-36112.48647
1005101946,-2869.707387
1005102946,28743.26117
1005103946,34702.75187
1005104946,18226.07401
1005105946,3876.734482
1005106711,-5555.830702
1005107711,6589.028739
1005108711,13136.72505
1005109711,16342.94693
1005110711,19496.50193
1005111711,20594.53561
1005112711,16195.20953
1005113711,8309.554002
1005114711,2267.968524
1005115711,-19.365946
1005116477,41845.46111
1005117477,28894.30654
1005118477,11378.66056
1005119477,-5202.228311
1005120477,-24718.08839
1005121477,-47832.19136
1005122477,-58955.88156
1005123477,-44778.83908
1005124477,-18693.7081
1005125477,-2749.249518
1005126243,-55868.3473
1005127243,-67970.01177
1005128243,-43219.79968
1005129243,-6617.992267
1005130243,16799.4749
1005131243,23288.93447
1005132243,20012.05751
1005133243,12372.12424
1005134243,4781.066406
1005135243,767.419387
1005136985,-24524.56073
1005137985,-28246.54479
1005138985,-22990.15137
1005139985,-13037.08015
1005140985,497.173175
1005141985,17160.01951
1005142985,28065.41717
